SN,MID_WID,SAP_New_Code,Nodal
1464,1182573,9200001891,9200001891
1465,1182578,9200001892,9200001892
1466,1182590,9200001893,9200001893
1467,1182593,9200001894,9200001894
1468,1182617,9200001895,9200001895
1469,1182946,9200001896,9200001896
1470,1182699,9200001897,9200001897
1471,1182629,9200001898,9200001898
1472,1182631,9200001899,9200001899
1473,1182639,9200001900,9200001900
1474,1182644,9200001901,9200001901
1475,1182658,9200001902,9200001902
1476,1182657,9200001903,9200001903
1477,1182750,9200001904,9200001904
1478,1182665,9200001905,9200001905
1479,1182706,9200001906,9200001906
1480,1182704,9200001907,9200001907
1481,1182711,9200001908,9200001908
1482,1182745,9200001910,9200001910
1483,1182752,9200001911,9200001911
1484,1182785,9200001912,9200001912
1485,1182789,9200001913,9200001913
1486,1182874,9200001914,9200001914
1487,1182793,9200001915,9200001915
1488,1182910,9200001916,9200001916
1489,1182905,9200001917,9200001917
1490,1182814,9200001918,9200001918
1491,1182818,9200001919,9200001919
1492,1182817,9200001920,9200001920
1493,1182824,9200001921,9200001921
1494,1182825,9200001922,9200001922
1495,1182826,9200001923,9200001923
1496,1183090,9200001924,9200001924
1497,1182829,9200001925,9200001925
1498,1182831,9200001926,9200001926
1499,1182832,9200001927,9200001927
1500,1182865,9200001928,9200001928
1501,1182873,9200001929,9200001929
1502,1182885,9200001930,9200001930
1503,1182907,9200001931,9200001931
1504,1182911,9200001932,9200001932
1505,1182914,9200001933,9200001933
1506,1182918,9200001934,9200001934
1507,1182930,9200001935,9200001935
1508,1182945,9200001936,9200001936
1509,1182951,9200001937,9200001937
1510,1182956,9200001938,9200001938
1511,1182958,9200001939,9200001939
1512,1183018,9200001940,9200001940
1513,1182966,9200001941,9200001941
1514,1182963,9200001942,9200001942
1515,1182967,9200001943,9200001943
1516,1182969,9200001944,9200001944
1517,1183005,9200001945,9200001945
1518,1183010,9200001946,9200001946
1519,1183011,9200001947,9200001947
1520,1183022,9200001948,9200001948
1521,1183038,9200001949,9200001949
1522,1183039,9200001950,9200001950
1523,1183041,9200001951,9200001951
