Merchant_ID,TOTAL,PERIOD,Date
1224558,-827.14,180326MARRE,19-Mar-26
586762,-820,180326MARRE,19-Mar-26
1170362,-814.98,180326MARRE,19-Mar-26
35340,-809.91,180326MARRE,19-Mar-26
320789,-807.5,180326MARRE,19-Mar-26
338503,-807.5,180326MARRE,19-Mar-26
1235902,-801.48,180326MARRE,19-Mar-26
1230901,-800.85,180326MARRE,19-Mar-26
333383,-800,180326MARRE,19-Mar-26
390007,-800,180326MARRE,19-Mar-26
1189426,-796.66,180326MARRE,19-Mar-26
529085,-793.5,180326MARRE,19-Mar-26
1259425,-790.44,180326MARRE,19-Mar-26
1192347,-788,180326MARRE,19-Mar-26
1215440,-782.92,180326MARRE,19-Mar-26
1234513,-782.92,180326MARRE,19-Mar-26
1180534,-767.04,180326MARRE,19-Mar-26
478743,-757.5,180326MARRE,19-Mar-26
1220720,-753.74,180326MARRE,19-Mar-26
1221928,-744.33,180326MARRE,19-Mar-26
150,-742,180326MARRE,19-Mar-26
1225065,-725.51,180326MARRE,19-Mar-26
1186774,-721.79,180326MARRE,19-Mar-26
1277053,-721.53,180326MARRE,19-Mar-26
61781,-720.05,180326MARRE,19-Mar-26
1215518,-713.91,180326MARRE,19-Mar-26
144383,-700,180326MARRE,19-Mar-26
1180227,-689.34,180326MARRE,19-Mar-26
1189654,-688.81,180326MARRE,19-Mar-26
1253177,-670.34,180326MARRE,19-Mar-26
1179403,-670.32,180326MARRE,19-Mar-26
1181001,-670.21,180326MARRE,19-Mar-26
592048,-670,180326MARRE,19-Mar-26
1229464,-669.99,180326MARRE,19-Mar-26
1186642,-668.67,180326MARRE,19-Mar-26
1216769,-664.35,180326MARRE,19-Mar-26
24636,-661.87,180326MARRE,19-Mar-26
1232443,-656.24,180326MARRE,19-Mar-26
1229757,-644.59,180326MARRE,19-Mar-26
1230633,-643.65,180326MARRE,19-Mar-26
1257613,-629.52,180326MARRE,19-Mar-26
1231232,-628.6,180326MARRE,19-Mar-26
290325,-627.87,180326MARRE,19-Mar-26
256415,-620,180326MARRE,19-Mar-26
377494,-620,180326MARRE,19-Mar-26
491581,-620,180326MARRE,19-Mar-26
571481,-620,180326MARRE,19-Mar-26
577244,-620,180326MARRE,19-Mar-26
1253992,-615.72,180326MARRE,19-Mar-26
1272245,-610.71,180326MARRE,19-Mar-26
1182419,-607.24,180326MARRE,19-Mar-26
506875,-605.97,180326MARRE,19-Mar-26
1220330,-592.85,180326MARRE,19-Mar-26
1228171,-579.88,180326MARRE,19-Mar-26
264470,-557.5,180326MARRE,19-Mar-26
376480,-557.5,180326MARRE,19-Mar-26
507551,-557.5,180326MARRE,19-Mar-26
566480,-557.5,180326MARRE,19-Mar-26
581198,-557.5,180326MARRE,19-Mar-26
1186981,-538.24,180326MARRE,19-Mar-26
1184256,-534.49,180326MARRE,19-Mar-26
1166046,-526.94,180326MARRE,19-Mar-26
1239297,-525.08,180326MARRE,19-Mar-26
32282,-521.56,180326MARRE,19-Mar-26
1189910,-521.18,180326MARRE,19-Mar-26
271364,-520,180326MARRE,19-Mar-26
504968,-520,180326MARRE,19-Mar-26
517225,-520,180326MARRE,19-Mar-26
1236876,-517.55,180326MARRE,19-Mar-26
1228287,-515.67,180326MARRE,19-Mar-26
917322,-514.7,180326MARRE,19-Mar-26
860304,-514.5,180326MARRE,19-Mar-26
22483,-513.25,180326MARRE,19-Mar-26
1219590,-512.61,180326MARRE,19-Mar-26
1182067,-512.3,180326MARRE,19-Mar-26
1240894,-508.29,180326MARRE,19-Mar-26
1181844,-508.14,180326MARRE,19-Mar-26
1225623,-508.14,180326MARRE,19-Mar-26
538118,-507.5,180326MARRE,19-Mar-26
581135,-507.5,180326MARRE,19-Mar-26
1263941,-500.53,180326MARRE,19-Mar-26
323796,-500,180326MARRE,19-Mar-26
387264,-500,180326MARRE,19-Mar-26
439602,-500,180326MARRE,19-Mar-26
552347,-500,180326MARRE,19-Mar-26
1190090,-497.79,180326MARRE,19-Mar-26
108308,-495.48,180326MARRE,19-Mar-26
1221245,-494.96,180326MARRE,19-Mar-26
1228576,-491.04,180326MARRE,19-Mar-26
1263517,-489.87,180326MARRE,19-Mar-26
1254411,-488.2,180326MARRE,19-Mar-26
35540,-459.9427998,180326MARRE,19-Mar-26
1244282,-458.26,180326MARRE,19-Mar-26
1191187,-454.5,180326MARRE,19-Mar-26
56873,-454.3,180326MARRE,19-Mar-26
1192192,-444.15,180326MARRE,19-Mar-26
1227267,-439.45,180326MARRE,19-Mar-26
1183860,-438.6,180326MARRE,19-Mar-26
1181484,-437.25,180326MARRE,19-Mar-26
1220317,-436.96,180326MARRE,19-Mar-26
909923,-426.12,180326MARRE,19-Mar-26
